ISDS_signature;MP17 Interferon/MHC-II (I);MP18 Interferon/MHC-II (II);KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;Hs_ESC_Assou;Hs_ESC_Wong;SC_Plurinet_computational;ES_exp1_benporath
;;;;CTSL2;ORC1L;PTMA;AP1M2
;;;;CXADR;OTX2;PTPN6;G3BP1
;;;;CXCL12;PA2G4;PXN;ADGRG2
;;;;CXXC6;PABPC1;RAD51;CEBPZ
;;;;TXLNG;PARP1;RAD54L;AASS
;;;;CYP26A1;PCNA;RAD9A;PRMT3
;;;;CYP2S1;PDCD2;RASL11B;ZNF267
;;;;DARS2;PDHA1;RBM14;TRIM22
;;;;DBC1;PDIA4;RBPMS;NPM3
;;;;DCAMKL1;PDPN;RCHY1;TUBB4B
;;;;DCC1;PHB;RECQL4;LYPLA1
;;;;DCP2;PHC1;RFC2;OLFM1
;;;;DDX18;PHF5A;RFC3;MAD2L2
;;;;DDX21;PIPOX;RFC4;NOP56
;;;;DDX25;PLK1;RFC5;PAICS
;;;;DDX46;PLK4;RMND5B;PAICS
;;;;DEK;POLD1;RND1;POLR3G
;;;;DEPDC1B;POLE2;RNMTL1;RAD51AP1
;;;;DHFR;POLR2F;RPA1;LEFTY1
;;;;DHFRL1;POLR3K;RPA2;IGF2BP3
;;;;DHX29;POP7;RPA3;IGF2BP2
;;;;DHX9;PPM1G;RPP40;MTHFD2
;;;;DIAPH2;PPP4C;RUVBL1;NMU
;;;;DIDO1;PRDX1;SALL4;KIF2C
;;;;DKC1;PRIM1;SEPHS1;PIM2
;;;;DKFZP586L0724;PRIM2A;SET;NUDT21
;;;;DLAT;PRMT1;SFRS1;CNMD
;;;;DLG3;PROM1;SIGLEC12;DIDO1
;;;;DLG7;PRPS1;SIP1;KAT7
;;;;DNA2L;PSMA5;SIRT1;PLAAT3
;;;;DNAJB6;PSMA7;SLC19A1;PSIP1
;;;;DNMT3A;PSMB5;SMARCA;WDHD1
;;;;DNMT3B;PSMB6;SMARCC1;CHEK2
;;;;DPP3;PSMD14;SMN1;GPR176
;;;;DPPA4;PSME3;SMNDC1;OIP5
;;;;DPYSL3;PUS1;SNRPA;RRAS2
;;;;DPYSL5;RAB34;SNRPB;MTF2
;;;;DRIM;RACGAP1;SNRPC;SEPHS1
;;;;DSG2;RAD18;SNRPD1;RAP1GAP2
;;;;DSP;RAD23B;SNRPE;TTLL12
;;;;DTYMK;RAMP;SNRPF;PASK
;;;;DUSP16;RCC1;SNRPN;MDN1
;;;;DUT;RCN2;SNURF;COBL
;;;;E2F5;RFC3;SOCS1;BOP1
;;;;ECT2;RNPS1;SP1;NCAPH
;;;;EEF1A1;RPA2;SPAG5;FRAT2
;;;;EEF1E1;RPA3;SRSF2;SIRT1
;;;;EFCBP1;RPL10A;SRSF3;CBX5
;;;;EFS;RPL13;SSB;TNPO3
;;;;EFTUD1;RPL22;STIP1;PRKD3
;;;;EGFL4;RPL27A;STRBP;KIF4A
;;;;EGLN3;RPP40;STX3;RAD54B
;;;;EIF1AX;RPS12;STXBP2;NOL11
;;;;EIF2S1;RPS16;STXBP3;PNISR
;;;;EIF3S10;RPS19;SUMO1;LRIG1
;;;;EIF3S3;RPS23;SUPT3H;CNTNAP2
;;;;EIF3S6;RPS27;SYNCRIP;AUTS2
;;;;EIF3S9;RPS3;TARBP2;SERBP1
;;;;EIF4A1;RPS5;TCERG1;PITPNC1
;;;;EIF4E;RPS8;TCOF1;GNL3
;;;;EIF4EBP1;RPSA;TDGF1;FOXD3
;;;;EIF5B;RRM1;TDP2;NMRK2
;;;;ELOVL6;RRM2;TGIF;NDUFAF4
;;;;ENAH;RUVBL1;TK1;CYP2S1
;;;;ENO2;RUVBL2;TMPO;PYCR2
;;;;ENPP1;SARS;TMSB4Y;RRP15
;;;;EOMES;SDHC;TNFRSF8;GMNN
;;;;EPB41L4B;SDHD;TNNI3;GAL
;;;;EPHA1;SEPHS2;TOE1;ABHD17B
;;;;EPRS;SERPINH1;TP53;PIPOX
;;;;ERBB2;SET;TPX2;ZNF589
;;;;ERBP;SIP1;TRAIP;RNF138
;;;;ETV1;SLC16A1;TRIM28;NOP16
;;;;ETV4;SLC25A5;TRIP13;LARP7
;;;;EXOSC2;SLC2A1;TUBA3C;ESF1
;;;;EXOSC5;SMC2L1;U2AF1;AZIN1
;;;;EXOSC7;SMC4;UNC119;LSR
;;;;EXOSC9;SNRPA;UNG;GINS2
;;;;EXTL2;SNRPA1;VAMP8;GPRC5B
;;;;F2RL1;SNRPD1;VASP;CECR1
;;;;FABP5;SNX5;WDR33;BRWD1
;;;;FALZ;SOX2;WDR77;MIS18A
;;;;FAM124A;SPAG5;WDYHV1;FAM64A
;;;;FAM131B;SQLE;WEE1;PUS7
;;;;FAM29A;SRSF10;WRAP73;EPB41L4B
;;;;FAM46B;SS18;WRN;L1TD1
;;;;FAM60A;SSB;XRCC5;ERCC6L
;;;;FAM72A;STIP1;ZFP42;ESRP1
;;;;FANCG;STOML2;ZNF165;NCAPG2
;;;;FANCL;SUMO1;ZNF281;ZNF770
;;;;FBXL10;TCF19;ZNF593 ;PAK1IP1
;;;;FBXO5;TCF7L1;;PARPBP
;;;;FCHO1;TCOF1;;FANCL
;;;;FEN1;TD-60;;DPPA4
;;;;FEZ1;TEAD2;;VRTN
;;;;FGF13;TERF1;;NUDT15
;;;;FGF2;TGIF;;BRIX1
;;;;FGFR1;TGIF2;;MIS18BP1
;;;;FGFR3;THOC3;;LGR4
;;;;FGFR4;TIMM13;;MCM10
;;;;FIGNL1;TIMM44;;PRPF40A
;;;;FKBP1B;TIMM8A;;NDC1
;;;;FKBP3;TIMM8B;;INTS13
;;;;FKBP5;TMEFF1;;CCAR1
;;;;FKSG14;TOP2A;;WDR12
;;;;FLJ10036;TP53;;RCC2
;;;;FLJ10156;TRIP13;;KLHL7
;;;;FLJ10330;TRIP6;;CHST7
;;;;FLJ10378;TTK;;EXOSC5
;;;;FLJ10407;U2AF1;;NUP107
;;;;FLJ10534;UBE2G1;;SALL4
;;;;FLJ10700;UBE2V2;;SLC39A10
;;;;FLJ10808;UGDH;;MRS2
;;;;FLJ10884;UQCR;;SPC25
;;;;FLJ11184;UQCRH;;NLN
;;;;FLJ12484;VBP1;;NLGN4X
;;;;FLJ12519;VRK1;;MTA3
;;;;FLJ12644;WBP11;;ZNF398
;;;;FLJ12650;WDHD1;;SEMA6A
;;;;FLJ13842;WDR77;;LRRN1
;;;;FLJ13909;WEE1;;CACHD1
;;;;FLJ20105;XPO1;;FAM60A
;;;;FLJ20171;XRCC5;;PRDM14
;;;;FLJ20485;YAP1;;NOC3L
;;;;FLJ20641;YY1;;AEN
;;;;FLJ20674;ZIC3;;SLC13A3
;;;;FLJ21148;ZNF22 ;;CAPRIN2
;;;;FLJ21168;;;DBNDD1
;;;;FLJ21901;;;CAMKV
;;;;FLJ21908;;;NUP37
;;;;FLJ21918;;;ELOVL6
;;;;FLJ21924;;;DSCC1
;;;;FLJ22662;;;GNPTAB
;;;;FLJ30046;;;AKIRIN1
;;;;FLJ31434;;;ICE2
;;;;FLJ34633;;;LIN28A
;;;;FLJ40432;;;NANOG
;;;;FNBP1L;;;JADE1
;;;;FNBP3;;;NAA15
;;;;FOXA3;;;MYO19
;;;;FOXD3;;;PUS1
;;;;FOXN3;;;TMEM177
;;;;FOXO1;;;SLC38A1
;;;;FRAS1;;;TMX1
;;;;FRAT2;;;WBSCR16
;;;;FRSB;;;CDT1
;;;;FSD1;;;SPRY4
;;;;FUBP1;;;TCF7L1
;;;;FXR1;;;BCL2L12
;;;;FZD7;;;USP44
;;;;G3BP1;;;GINS4
;;;;G3BP2;;;HPS3
;;;;GABRA1;;;MAK16
;;;;GABRA5;;;SLC7A3
;;;;GABRB3;;;ZSCAN10
;;;;GAD1;;;ANGEL2
;;;;GAJ;;;KIFC2
;;;;GAL;;;ZGRF1
;;;;GALNT1;;;MGME1
;;;;GALNT12;;;DMKN
;;;;GAP43;;;EGLN3
;;;;GARNL4;;;CDCA5
;;;;GART;;;MAL2
;;;;GCLC;;;FAM46B
;;;;GCSH;;;SCGB3A2
;;;;GDF3;;;GYLTL1B
;;;;GEMIN4;;;LOC157627
;;;;GFPT2;;;TDRP
;;;;GJA1;;;DDIAS
;;;;GJA7;;;ARL5B
;;;;GLDC;;;TUBB2B
;;;;GLI2;;;CKMT1A
;;;;GLMN;;;
;;;;GLS2;;;
;;;;GMFB;;;
;;;;GMNN;;;
;;;;GNAL;;;
;;;;GNG4;;;
;;;;GNL2;;;
;;;;GNL3;;;
;;;;GNPTAB;;;
;;;;GPC4;;;
;;;;GPM6B;;;
;;;;GPR;;;
;;;;GPR160;;;
;;;;GPR19;;;
;;;;GPR23;;;
;;;;GPR64;;;
;;;;GPRC5B;;;
;;;;GRB14;;;
;;;;GRB7;;;
;;;;GRPR;;;
;;;;GRTP1;;;
;;;;GSG2;;;
;;;;GTF2E1;;;
;;;;GULP1;;;
;;;;GYG2;;;
;;;;GYLTL1B;;;
;;;;H2AFX;;;
;;;;HA-1;;;
;;;;HAS3;;;
;;;;HDAC2;;;
;;;;HELLS;;;
;;;;HESX1;;;
;;;;HEY2;;;
;;;;HIP1;;;
;;;;HIST1H2BG;;;
;;;;HIST1H4K;;;
;;;;HLTF;;;
;;;;HMBS;;;
;;;;HMGA1;;;
;;;;HMGB2;;;
;;;;HMGB3;;;
;;;;HMGN2;;;
;;;;HMMR;;;
;;;;HNRNPA1;;;
;;;;HNRNPL;;;
;;;;HNRPAB;;;
;;;;HNRPU;;;
;;;;HOMER1;;;
;;;;HOOK1;;;
;;;;HPCL2;;;
;;;;HPRP8BP;;;
;;;;HPS3;;;
;;;;HRASLS3;;;
;;;;HRMT1L3;;;
;;;;HSD11B2;;;
;;;;HSD17B4;;;
;;;;HSP90B1;;;
;;;;HSPA14;;;
;;;;HSPA4;;;
;;;;HSPA8;;;
;;;;HSPA9B;;;
;;;;HSPC111;;;
;;;;HSPC163;;;
;;;;HSPD1;;;
;;;;HSPE1;;;
;;;;HT017;;;
;;;;HTR1D;;;
;;;;Hs.105196;;;
;;;;Hs.173497;;;
;;;;Hs.178761;;;
;;;;Hs.40154;;;
;;;;Hs.60548;;;
;;;;ID1;;;
;;;;IDH1;;;
;;;;IFI30;;;
;;;;IFITM1;;;
;;;;IGF2BP3;;;
;;;;IGFBP2;;;
;;;;IL17RD;;;
;;;;ILF3;;;
;;;;IMP-1;;;
;;;;IMP-2;;;
;;;;IMPA1;;;
;;;;IMPA2;;;
;;;;IMPDH2;;;
;;;;INDO;;;
;;;;IPO7;;;
;;;;IPO9;;;
;;;;IQGAP2;;;
;;;;IRX2;;;
;;;;ITGA6;;;
;;;;ITGB1BP3;;;
;;;;ITGB5;;;
;;;;ITPR3;;;
;;;;ITSN1;;;
;;;;JARID2;;;
;;;;JMJD1C;;;
;;;;JMY;;;
;;;;KAL1;;;
;;;;KCNK5;;;
;;;;KCNN2;;;
;;;;KCNQ2;;;
;;;;KCNS3;;;
;;;;KCTD14;;;
;;;;KIAA0007;;;
;;;;KIAA0020;;;
;;;;KIAA0101;;;
;;;;KIAA0114;;;
;;;;KIAA0153;;;
;;;;KIAA0179;;;
;;;;KIAA0483;;;
;;;;KIAA0523;;;
;;;;KIAA0650;;;
;;;;KIAA0888;;;
;;;;KIAA0922;;;
;;;;KIAA1274;;;
;;;;KIAA1287;;;
;;;;KIAA1553;;;
;;;;KIAA1576;;;
;;;;KIAA1712;;;
;;;;KIAA1727;;;
;;;;KIAA1982;;;
;;;;KIF1A;;;
;;;;KIF20A;;;
;;;;KIF23;;;
;;;;KIF2C;;;
;;;;KIF4A;;;
;;;;KIF5C;;;
;;;;KIFC2;;;
;;;;KLHL7;;;
;;;;KLKB1;;;
;;;;KNTC1;;;
;;;;KNTC2;;;
;;;;KPNA2;;;
;;;;KRR1;;;
;;;;KRT18;;;
;;;;KRT8;;;
;;;;KRTCAP3;;;
;;;;LAPTM4B;;;
;;;;LARP7;;;
;;;;LARS;;;
;;;;LARS2;;;
;;;;LCK;;;
;;;;LDB2;;;
;;;;LECT1;;;
;;;;LEFTY1;;;
;;;;LEFTY2;;;
;;;;LGALS1;;;
;;;;LGALS8;;;
;;;;LGR4;;;
;;;;LIG1;;;
;;;;LIN28;;;
;;;;LINGO1;;;
;;;;LISCH7;;;
;;;;LMNB1;;;
;;;;LMNB2;;;
;;;;LNK;;;
;;;;LOC112885;;;
;;;;LOC134492;;;
;;;;LOC138255;;;
;;;;LOC144097;;;
;;;;LOC157627;;;
;;;;LOC400451;;;
;;;;LOC90806;;;
;;;;LPAAT-e;;;
;;;;LPHN2;;;
;;;;LRIG1;;;
;;;;LRP8;;;
;;;;LRRN1;;;
;;;;LSM5;;;
;;;;LSM6;;;
;;;;LSM7;;;
;;;;LUC7L;;;
;;;;LYAR;;;
;;;;LYPLA1;;;
;;;;M6PR;;;
;;;;MAD2L2;;;
;;;;MAL2;;;
;;;;MAN2A1;;;
;;;;MAP4K1;;;
;;;;MAP7;;;
;;;;MARS;;;
;;;;MARVELD2;;;
;;;;MARVELD3;;;
;;;;MASTL;;;
;;;;MAT2A;;;
;;;;MAT2B;;;
;;;;MATK;;;
;;;;MATR3;;;
;;;;MBD2;;;
;;;;MCL1;;;
;;;;MCM10;;;
;;;;MCM2;;;
;;;;MCM3;;;
;;;;MCM4;;;
;;;;MCM5;;;
;;;;MCM6;;;
;;;;MCM7;;;
;;;;MDN1;;;
;;;;MEST;;;
;;;;METAP1;;;
;;;;METTL3;;;
;;;;METTL8;;;
;;;;MFAP2;;;
;;;;MFAP3L;;;
;;;;MFGE8;;;
;;;;MGC10911;;;
;;;;MGC10993;;;
;;;;MGC13096;;;
;;;;MGC19531;;;
;;;;MGC24665;;;
;;;;MGC2574;;;
;;;;MGC2603;;;
;;;;MGC3101;;;
;;;;MGC42530;;;
;;;;MGC45866;;;
;;;;MGC72075;;;
;;;;MGC8407;;;
;;;;MGC8685;;;
;;;;MGEA5;;;
;;;;MGST1;;;
;;;;MICB;;;
;;;;MIZ1;;;
;;;;MKI67IP;;;
;;;;MLF1IP;;;
;;;;MLLT10;;;
;;;;MLSTD1;;;
;;;;MMP1;;;
;;;;MMP25;;;
